#pid	conf	gene_ids	eids	pathfinders	sif_edges
p220	0.894000	YLR113W|YDR510W|YNL255C|HOG1IA45	edge7647|edge11128|edge4357	paths	YLR113W u YDR510W|YDR510W u YNL255C|YNL255C d HOG1IA45
p221	0.013000	YLR113W|YMR049C|YPL248C|HOG1ID47	edge15241|edge18221|edge19310	paths	YLR113W u YMR049C|YMR049C u YPL248C|YPL248C d HOG1ID47
p222	0.910000	YLR113W|YKL057C|YOR267C|HOG1ID42	edge2067|edge2119|edge682	paths	YLR113W u YKL057C|YKL057C u YOR267C|YOR267C d HOG1ID42
p223	0.909000	YLR113W|YFL005W|YPL082C|HOG1RD50	edge7295|edge22648|edge1534	paths	YLR113W u YFL005W|YFL005W u YPL082C|YPL082C d HOG1RD50
p224	0.919000	YFR028C|YPL248C|YHR119W|CDC14RD31	edge14980|edge14174|edge25807	paths	YFR028C u YPL248C|YPL248C u YHR119W|YHR119W d CDC14RD31
p225	0.959000	YLR113W|YFL005W|HOG1ID44	edge7295|edge7332	paths	YLR113W u YFL005W|YFL005W d HOG1ID44
p226	0.753000	YFR028C|YLR026C|YNL124W|CDC14RD41	edge14792|edge4664|edge933	paths	YFR028C u YLR026C|YLR026C u YNL124W|YNL124W d CDC14RD41
p227	0.000000	YFR028C|HOG1ID46|YML059C|YAL041W|CDC14ID22	edge21680|edge17253|edge11945|edge15937	paths	YFR028C d HOG1ID46|HOG1ID46 d YML059C|YML059C u YAL041W|YAL041W d CDC14ID22
p228	0.913000	YLR113W|NPI1|YJR059W|YPL256C|HOG1RA51	edge15950|edge784|edge3015|edge15983	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YPL256C|YPL256C d HOG1RA51
p229	0.903000	YLR113W|NPI1|YGR097W|YHR099W|HOG1ID48	edge15950|edge5971|edge25390|edge17442	paths	YLR113W d NPI1|NPI1 d YGR097W|YGR097W u YHR099W|YHR099W d HOG1ID48
p230	0.753000	YFR028C|YLR026C|YNL124W|CDC14RD36	edge14792|edge4664|edge17898	paths	YFR028C u YLR026C|YLR026C u YNL124W|YNL124W d CDC14RD36
p231	0.903000	YLR113W|NPI1|YGR097W|YHR099W|HOG1ID47	edge15950|edge5971|edge25390|edge15191	paths	YLR113W d NPI1|NPI1 d YGR097W|YGR097W u YHR099W|YHR099W d HOG1ID47
p232	0.903000	YLR113W|NPI1|YGR097W|YHR099W|HOG1ID42	edge15950|edge5971|edge25390|edge5141	paths	YLR113W d NPI1|NPI1 d YGR097W|YGR097W u YHR099W|YHR099W d HOG1ID42
p233	0.907000	YFR028C|HOG1ID46|YGR097W|YDR087C|CDC14RD31	edge21680|edge5711|edge24154|edge23158	paths	YFR028C d HOG1ID46|HOG1ID46 d YGR097W|YGR097W u YDR087C|YDR087C d CDC14RD31
p234	0.902000	YLR113W|YDR510W|YLR306W|HOG1ID42	edge7647|edge21996|edge13171	paths	YLR113W u YDR510W|YDR510W u YLR306W|YLR306W d HOG1ID42
p235	0.924000	YFR028C|YKL009W|YDR099W|CDC14RD39	edge3970|edge10635|edge6867	paths	YFR028C u YKL009W|YKL009W u YDR099W|YDR099W d CDC14RD39
p236	0.911000	YLR113W|NPI1|YJR059W|YPL178W|HOG1ID42	edge15950|edge784|edge24471|edge14426	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YPL178W|YPL178W d HOG1ID42
p237	0.907000	YLR113W|YBR245C|NPR7|YAL041W|HOG1ID46	edge12012|edge19424|edge19415|edge6907	paths	YLR113W u YBR245C|YBR245C d NPR7|NPR7 d YAL041W|YAL041W d HOG1ID46
p238	0.761000	YFR028C|YMR205C|YGR005C|CDC14RD31	edge12788|edge10493|edge17698	paths	YFR028C u YMR205C|YMR205C u YGR005C|YGR005C d CDC14RD31
p239	0.728000	YLR113W|YOL135C|YFL005W|HOG1ID44	edge9964|edge14609|edge7332	paths	YLR113W u YOL135C|YOL135C u YFL005W|YFL005W d HOG1ID44
p240	0.908000	YLR113W|YDR510W|YDR466W|HOG1ID47	edge7647|edge6737|edge23309	paths	YLR113W u YDR510W|YDR510W u YDR466W|YDR466W d HOG1ID47
