#pid	gene_ids	eids	pathfinders	sif_edges
p20	YFR028C|YPL031C|YMR115W|CDC14RD35	edge3887|edge180|edge16092	paths	YFR028C u YPL031C|YPL031C d YMR115W|YMR115W d CDC14RD35
p21	YFR028C|YOR117W|NPR12|YER155C|CDC14RD31	edge17922|edge631|edge8534|edge17088	paths	YFR028C u YOR117W|YOR117W d NPR12|NPR12 d YER155C|YER155C d CDC14RD31
p22	YFR028C|YGL190C|YOR259C|CDC14ID26	edge15776|edge5553|edge8168	paths	YFR028C d YGL190C|YGL190C u YOR259C|YOR259C d CDC14ID26
p23	YFR028C|NPI1|YNL020C|YLL039C|CDC14RD31	edge18360|edge10273|edge195|edge18100	paths	YFR028C d NPI1|NPI1 d YNL020C|YNL020C d YLL039C|YLL039C d CDC14RD31
p24	YFR028C|NPI1|YBR059C|YGR092W|CDC14RA40	edge18360|edge22990|edge1429|edge17994	paths	YFR028C d NPI1|NPI1 d YBR059C|YBR059C d YGR092W|YGR092W d CDC14RA40
p25	YFR028C|NPI1|YNL020C|YLL039C|CDC14RD30	edge18360|edge10273|edge195|edge18817	paths	YFR028C d NPI1|NPI1 d YNL020C|YNL020C d YLL039C|YLL039C d CDC14RD30
p26	YLR113W|YDR507C|YER165W|HOG1IA43	edge4227|edge18852|edge8532	paths	YLR113W d YDR507C|YDR507C d YER165W|YER165W d HOG1IA43
p27	YFR028C|YGL190C|YOR259C|CDC14ID25	edge15776|edge5553|edge10742	paths	YFR028C d YGL190C|YGL190C u YOR259C|YOR259C d CDC14ID25
p28	YLR113W|YFR028C|NPI1|YER165W|HOG1IA43	edge13967|edge18360|edge702|edge8532	paths	YLR113W u YFR028C|YFR028C d NPI1|NPI1 d YER165W|YER165W d HOG1IA43
p29	YFR028C|NPI1|YJR059W|YNL207W|CDC14RD30	edge18360|edge772|edge17869|edge5346	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YNL207W|YNL207W d CDC14RD30
p30	YLR113W|YFR028C|YMR165C|HOG1ID47	edge13967|edge1149|edge24273	paths	YLR113W u YFR028C|YFR028C u YMR165C|YMR165C d HOG1ID47
p31	YFR028C|YER133W|YKL014C|CDC14RD32	edge14185|edge19028|edge14610	paths	YFR028C u YER133W|YER133W u YKL014C|YKL014C d CDC14RD32
p32	YLR113W|YDR460W|YOR259C|HOG1ID48	edge7014|edge11670|edge21267	paths	YLR113W d YDR460W|YDR460W u YOR259C|YOR259C d HOG1ID48
p33	YFR028C|YGR274C|YDL132W|CDC14RD30	edge77|edge2189|edge26713	paths	YFR028C u YGR274C|YGR274C u YDL132W|YDL132W d CDC14RD30
p34	YLR113W|YDR460W|YOR259C|HOG1ID47	edge7014|edge11670|edge23727	paths	YLR113W d YDR460W|YDR460W u YOR259C|YOR259C d HOG1ID47
p35	YFR028C|YER049W|YOR326W|CDC14RD30	edge198|edge23091|edge9653	paths	YFR028C u YER049W|YER049W u YOR326W|YOR326W d CDC14RD30
p36	YFR028C|NPI1|YJR059W|YHR186C|CDC14ID19	edge18360|edge772|edge19888|edge8084	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YHR186C|YHR186C d CDC14ID19
p37	YFR028C|NPI1|YJR059W|YLR347C|CDC14RD36	edge18360|edge772|edge9617|edge13269	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YLR347C|YLR347C d CDC14RD36
p38	YFR028C|YNR009W|YDL229W|CDC14RD31	edge26709|edge1843|edge4490	paths	YFR028C u YNR009W|YNR009W u YDL229W|YDL229W d CDC14RD31
p39	YFR028C|YMR037C|YGL120C|CDC14RD30	edge8706|edge18267|edge19662	paths	YFR028C u YMR037C|YMR037C u YGL120C|YGL120C d CDC14RD30
p40	YFR028C|NPI1|YHR158C|YHR186C|CDC14ID19	edge18360|edge26939|edge9015|edge8084	paths	YFR028C d NPI1|NPI1 d YHR158C|YHR158C u YHR186C|YHR186C d CDC14ID19
p41	YLR113W|YBR010W|YGL158W|HOG1ID47	edge1888|edge10786|edge26590	paths	YLR113W d YBR010W|YBR010W u YGL158W|YGL158W d HOG1ID47
p42	YFR028C|YOL051W|YGR218W|CDC14RD35	edge13551|edge18001|edge251	paths	YFR028C u YOL051W|YOL051W u YGR218W|YGR218W d CDC14RD35
p43	YFR028C|YNL025C|NPI5|YLR096W|CDC14RA40	edge14454|edge13918|edge5229|edge26115	paths	YFR028C u YNL025C|YNL025C d NPI5|NPI5 d YLR096W|YLR096W d CDC14RA40
p44	YFR028C|YPL248C|YBR009C|CDC14RD31	edge14820|edge10666|edge11716	paths	YFR028C u YPL248C|YPL248C u YBR009C|YBR009C d CDC14RD31
p45	YFR028C|YGL120C|YOR326W|CDC14RD30	edge23739|edge16388|edge9653	paths	YFR028C u YGL120C|YGL120C u YOR326W|YOR326W d CDC14RD30
p46	YLR113W|YER177W|YOL133W|HOG1ID46	edge13442|edge12191|edge1145	paths	YLR113W u YER177W|YER177W u YOL133W|YOL133W d HOG1ID46
p47	YLR113W|YOL115W|YJR072C|HOG1ID46	edge14130|edge3687|edge5245	paths	YLR113W u YOL115W|YOL115W u YJR072C|YJR072C d HOG1ID46
p48	YFR028C|NPI1|YHR158C|YOR259C|CDC14ID26	edge18360|edge26939|edge20160|edge8168	paths	YFR028C d NPI1|NPI1 d YHR158C|YHR158C u YOR259C|YOR259C d CDC14ID26
p49	YLR113W|YPL093W|YGL092W|HOG1ID42	edge20853|edge14538|edge19509	paths	YLR113W u YPL093W|YPL093W u YGL092W|YGL092W d HOG1ID42
p50	YLR113W|YPR016C|YDR224C|HOG1ID47	edge12678|edge13538|edge438	paths	YLR113W u YPR016C|YPR016C u YDR224C|YDR224C d HOG1ID47
p51	YFR028C|NPI1|YHR158C|YOR259C|CDC14ID25	edge18360|edge26939|edge20160|edge10742	paths	YFR028C d NPI1|NPI1 d YHR158C|YHR158C u YOR259C|YOR259C d CDC14ID25
p52	YFR028C|YFL013C|YNL307C|CDC14RA40	edge24305|edge13545|edge23341	paths	YFR028C d YFL013C|YFL013C u YNL307C|YNL307C d CDC14RA40
p53	YLR113W|YLR206W|YMR165C|HOG1ID47	edge13761|edge19294|edge24273	paths	YLR113W d YLR206W|YLR206W u YMR165C|YMR165C d HOG1ID47
p54	YFR028C|NPI1|YBR059C|YGR200C|CDC14ID22	edge18360|edge22990|edge24362|edge6771	paths	YFR028C d NPI1|NPI1 d YBR059C|YBR059C d YGR200C|YGR200C d CDC14ID22
p55	YLR113W|YHR154W|YMR165C|HOG1ID47	edge22711|edge17235|edge24273	paths	YLR113W u YHR154W|YHR154W u YMR165C|YMR165C d HOG1ID47
p56	YFR028C|YGR092W|CDC14RA40	edge25293|edge17994	paths	YFR028C d YGR092W|YGR092W d CDC14RA40
