#tail	head	edge_flux
YNR032CA	YDL223C	3.93947e-06
YNR032CA	YGR075C	3.93947e-06
YNR032CA	YOR308C	3.93947e-06
YNR032CA	YHR165C	3.93947e-06
YNR032CA	YLR313C	3.93947e-06
YNL248C	YJL148W	3.93810e-06
YNL248C	YML010W	3.93810e-06
YNL248C	YOR341W	3.93810e-06
YNL248C	YPR010C	3.93810e-06
YNL248C	YMR239C	3.93810e-06
YNL248C	YKL125W	3.93810e-06
YNL248C	YOR340C	3.93810e-06
YNL248C	YGL120C	3.93810e-06
YJL151C	YLL039C	3.93759e-06
YBR005W	YLL039C	3.93759e-06
YPL008W	YKL113C	3.92540e-06
YPL008W	YJR046W	3.92540e-06
YPL008W	YFR027W	3.92540e-06
YPL008W	YML065W	3.92540e-06
YPL008W	YGR140W	3.92540e-06
YPL008W	YNL222W	3.92540e-06
YPL008W	YAL043C	3.92540e-06
YPL008W	YBL023C	3.92540e-06
YPL008W	YHR118C	3.92540e-06
YPL008W	YBR060C	3.92540e-06
YPL008W	YLL004W	3.92540e-06
YKR035WA	YNL265C	3.92100e-06
YKR035WA	YLR181C	3.92100e-06
YKR035WA	YLR025W	3.92100e-06
YKR035WA	YPR173C	3.92100e-06
YKR035WA	YKL041W	3.92100e-06
YDL101C	YCR004C	3.90871e-06
YDL101C	YER079W	3.90871e-06
YDL101C	YDR264C	3.90871e-06
YDL101C	YJR056C	3.90871e-06
YDL101C	YML083C	3.90871e-06
YDL101C	YPL153C	3.90871e-06
YDL101C	YKR097W	3.90871e-06
YDL101C	YLR437C	3.90871e-06
YDL101C	YLR265C	3.90871e-06
YDL101C	YML058W	3.90871e-06
YDL101C	YAR019C	3.90871e-06
YDL101C	YHR185C	3.90871e-06
YDL101C	YDR531W	3.90871e-06
YDL101C	YGR038CA	3.90871e-06
YDL101C	YDR171W	3.90871e-06
YDL101C	YER064C	3.90871e-06
YDL101C	YLR001C	3.90871e-06
YDL101C	YDR510W	3.90871e-06
YDL101C	YJL111W	3.90871e-06
YDL101C	YDR032C	3.90871e-06
YDL101C	YDR523C	3.90871e-06
YDL101C	YFR028C	3.90871e-06
YDL101C	YMR086W	3.90871e-06
YDL101C	YEL017W	3.90871e-06
YDL101C	YKL025C	3.90871e-06
YDL101C	YLR098C	3.90871e-06
YDL101C	YBL011W	3.90871e-06
YDL101C	YPL177C	3.90871e-06
YDL101C	YGR130C	3.90871e-06
YDL101C	YOL123W	3.90871e-06
YDL101C	YMR031C	3.90871e-06
YDL101C	YOL082W	3.90871e-06
YDL101C	YHR067W	3.90871e-06
YDL101C	YJL076W	3.90871e-06
YDL101C	Induced_..R..s......_No_Phenotype_Exists	3.90871e-06
YNL117W	YOL045W	3.89818e-06
YNL117W	YOL147C	3.89818e-06
YNL117W	YOR351C	3.89818e-06
YNL117W	YJL057C	3.89818e-06
YNL117W	YGR052W	3.89818e-06
YNL117W	YDL078C	3.89818e-06
YNL117W	YKL117W	3.89818e-06
YNL117W	YCR005C	3.89818e-06
YNL117W	YGR040W	3.89818e-06
YNL117W	YER065C	3.89818e-06
YBR195C	YNL183C	3.89572e-06
YBR195C	YML102W	3.89572e-06
YBR195C	YPR018W	3.89572e-06
YBR195C	YBR009C	3.89572e-06
YBR195C	YNL206C	3.89572e-06
YBR195C	YNL031C	3.89572e-06
YBR195C	YBR010W	3.89572e-06
YNL142W	YPL265W	3.89564e-06
YDR032C	YCR004C	3.89291e-06
YDR032C	YDL101C	3.89291e-06
YDR032C	YKL108W	3.89291e-06
YDR032C	YOR014W	3.89291e-06
YDR032C	YBR052C	3.89291e-06
YMR224C	YLR357W	3.89197e-06
YMR224C	YMR190C	3.89197e-06
YMR224C	YKR008W	3.89197e-06
YMR224C	YHR164C	3.89197e-06
YMR224C	YAR007C	3.89197e-06
YMR224C	YMR117C	3.89197e-06
YMR224C	YMR106C	3.89197e-06
YMR224C	YDR369C	3.89197e-06
YMR224C	YNL250W	3.89197e-06
YMR224C	YJL092W	3.89197e-06
YMR224C	YGR056W	3.89197e-06
YMR224C	YJL176C	3.89197e-06
YMR224C	YLR394W	3.89197e-06
YMR224C	YOR005C	3.89197e-06
YPL061W	YPL204W	3.89010e-06
YDL156W	YNL030W	3.88589e-06
YDL156W	YJL111W	3.88589e-06
YDL156W	YDR212W	3.88589e-06
YDL156W	YJL008C	3.88589e-06
YDL156W	YBL003C	3.88589e-06
YDL156W	YIL142W	3.88589e-06
YDL156W	YCR028CA	3.88589e-06
YDL156W	YBL002W	3.88589e-06
YDL156W	YJR064W	3.88589e-06
YDL156W	YMR106C	3.88589e-06
YDL156W	YJL014W	3.88589e-06
YDL156W	YDL143W	3.88589e-06
YDL156W	YNL031C	3.88589e-06
YDL156W	YLR357W	3.88589e-06
YDL156W	YFR037C	3.88589e-06
YHR027C	YFR004W	3.88214e-06
YHR027C	YDL147W	3.88214e-06
YHR027C	YDL097C	3.88214e-06
YHR027C	YGL004C	3.88214e-06
YHR027C	YER143W	3.88214e-06
YHR027C	YLR421C	3.88214e-06
YHR027C	YHR200W	3.88214e-06
YHR027C	YML092C	3.88214e-06
YHR027C	YMR001C	3.88214e-06
YHR027C	YDR394W	3.88214e-06
YHR027C	YGR232W	3.88214e-06
YHR027C	YML088W	3.88214e-06
YHR027C	YER012W	3.88214e-06
YHR027C	YHR193C	3.88214e-06
YHR027C	YOR362C	3.88214e-06
YHR027C	YLL039C	3.88214e-06
YHR027C	YFR010W	3.88214e-06
YHR027C	YBR272C	3.88214e-06
YHR027C	YKL145W	3.88214e-06
YHR027C	YER007W	3.88214e-06
YHR027C	YDR427W	3.88214e-06
YHR027C	YER021W	3.88214e-06
YHR027C	YDL227C	3.88214e-06
YHR027C	YNL244C	3.88214e-06
YHR027C	YFR052W	3.88214e-06
YHR027C	YKL010C	3.88214e-06
YHR027C	YMR314W	3.88214e-06
YHR027C	YDL132W	3.88214e-06
YHR027C	YBR080C	3.88214e-06
