matchType=CatSet(Constituent|motif_match|motif_unmatched|Output|Shared_Interaction|unknown_recognition_motif)	Interactor_A	Interactor_B	Dir	Sign	Annotation=CatSet(Kinase|Phosphatase|Yes)
Constituent	npr70	YDR429C	1	0		
Constituent	npr70	YDR436W	1	0	Phosphatase	
Constituent	npr70	YDR439W	1	0		
Constituent	npr70	YDR466W	1	0	Kinase	
Constituent	npr70	YEL043W	1	0		
Constituent	npr70	YER123W	1	0	Kinase	
Constituent	npr70	YER155C	1	0		
Constituent	npr70	YFR024CA	1	0		
Constituent	npr70	YGR170W	1	0		
Constituent	npr70	YGR217W	1	0		
Constituent	npr70	YIL038C	1	0		
Constituent	npr70	YIL047C	1	0		
Constituent	npr70	YIL105C	1	0		
Constituent	npr70	YKL010C	1	0		
Constituent	npr70	YKR090W	1	0		
Constituent	npr70	YLL029W	1	0		
Constituent	npr70	YLR219W	1	0		
Constituent	npr70	YLR360W	1	0		
Constituent	npr70	YLR425W	1	0		
Constituent	npr70	YML017W	1	0		
Constituent	npr70	YML035C	1	0		
Constituent	npr70	YML072C	1	0		
Constituent	npr70	YMR109W	1	0		
Constituent	npr70	YMR124W	1	0		
Constituent	npr70	YMR126C	1	0		
Constituent	npr70	YMR140W	1	0		
Constituent	npr70	YNL039W	1	0		
Constituent	npr70	YNL076W	1	0		
Constituent	npr70	YNL088W	1	0		
Constituent	npr70	YNL095C	1	0		
Constituent	npr70	YNL224C	1	0		
Constituent	npr70	YNL243W	1	0		
Constituent	npr70	YNL298W	1	0	Kinase	
Constituent	npr70	YOR069W	1	0		
Constituent	npr70	YOR140W	1	0		
Constituent	npr70	YPL058C	1	0		
Constituent	npr70	YPL265W	1	0		
Constituent	npr70	YPR070W	1	0		
Constituent	npr70	YPR185W	1	0		
Constituent	pde2ra52	YCL032W	1	0		
Constituent	pde2ra52	YDR507C	1	0	Kinase|Yes
Constituent	pde2ra52	YIL038C	1	0		
Constituent	pde2ra52	YLR257W	1	0		
Constituent	pde2ra52	YNL265C	1	0		
Constituent	pde2ra52	YBL085W	1	0		
Constituent	pde2ra52	YBL103C	1	0		
Constituent	pde2ra52	YBR130C	1	0		
Constituent	pde2ra52	YDR169C	1	0		
Constituent	pde2ra52	YKR048C	1	0		
Constituent	pde2ra52	YOL081W	1	0		
Constituent	cdc14ra16	YMR212C	1	0		
Constituent	cdc14ra16	YOL070C	1	0		
Constituent	cdc14ra16	YOR153W	1	0		
Constituent	cdc14rd17	YBR276C	1	0		
Constituent	cdc14rd17	YJL134W	1	0		
Constituent	cdc14rd17	YLR192C	1	0		
Constituent	cdc14rd17	YMR231W	1	0		
Constituent	cdc14rd17	YOR153W	1	0		
Constituent	npr71	YDL161W	1	0		
Constituent	npr71	YDR475C	1	0		
Constituent	npr71	YGR197C	1	0		
Constituent	npr71	YIL095W	1	0	Kinase	
Constituent	npr71	YJL020C	1	0		
Constituent	npr71	YJL201W	1	0		
Constituent	npr71	YJR076C	1	0		
Constituent	npr71	YJR124C	1	0		
Constituent	npr71	YLR177W	1	0		
Constituent	npr71	YML113W	1	0		
Constituent	npr71	YML123C	1	0		
Constituent	npr71	YNL096C	1	0		
Constituent	npr71	YNL189W	1	0		
Constituent	npr71	YNL192W	1	0		
Constituent	npr71	YOR092W	1	0		
Constituent	npr71	YPR156C	1	0		
Constituent	pde2ra53	YEL043W	1	0		
Constituent	pde2ra53	YLR305C	1	0		
Constituent	pde2ra53	YMR219W	1	0		
Constituent	cdc14ra18	YBL054W	1	0		
Constituent	cdc14ra18	YBL058W	1	0		
Constituent	cdc14rd19	YDR145W	1	0		
Constituent	cdc14rd19	YDR293C	1	0		
Constituent	cdc14rd19	YER132C	1	0		
Constituent	cdc14rd19	YHR082C	1	0	Kinase	
Constituent	cdc14rd19	YKL008C	1	0		
Constituent	cdc14rd19	YBR130C	1	0		
Constituent	cdc14rd19	YHR097C	1	0		
Constituent	cdc14rd19	YKL181W	1	0		
Constituent	cdc14rd19	YNL098C	1	0		
Constituent	hog1rd36	YER114C	1	0		
Constituent	hog1rd36	YIL129C	1	0		
Constituent	npr72	YAR002W	1	0		
Constituent	npr72	YBL085W	1	0		
Constituent	npr72	YBL091CA	1	0		
Constituent	npr72	YBR086C	1	0		
