edge	sources	pmids
YGL181W (u) YOR094W	smaczynskaderooijii2008	18208507
YOR094W (u) YGL181W	smaczynskaderooijii2008	18208507
YGL181W (u) YPL213W	casparyf1998	9799242
YPL213W (u) YGL181W	casparyf1998	9799242
YGL181W (u) YPR171W	smaczynskaderooijii2008	18208507
YPR171W (u) YGL181W	smaczynskaderooijii2008	18208507
YGL187C (u) YGL191W	vukoticm2012	22342701
YGL191W (u) YGL187C	vukoticm2012	22342701
YGL187C (u) YGR033C	vanderlaanm2006	17113393
YGR033C (u) YGL187C	vanderlaanm2006	17113393
YGL187C (u) YGR112W	mickdu2007	17882259
YGR112W (u) YGL187C	mickdu2007	17882259
YGL187C (u) YJL166W	vukoticm2012	22342701
YJL166W (u) YGL187C	vukoticm2012	22342701
YGL187C (u) YLR203C	shinguvazquezm2010	20807763
YLR203C (u) YGL187C	shinguvazquezm2010	20807763
YGL187C (u) YML030W	chenyc2012|vukoticm2012|strogolovav2012	22310663|22342701|22405070
YML030W (u) YGL187C	chenyc2012|vukoticm2012|strogolovav2012	22310663|22342701|22405070
YGL187C (u) YML129C	shinguvazquezm2010|mickdu2007	20807763|17882259
YML129C (u) YGL187C	shinguvazquezm2010|mickdu2007	20807763|17882259
YGL187C (u) YNR018W	vukoticm2012|strogolovav2012	22310663|22342701
YNR018W (u) YGL187C	vukoticm2012|strogolovav2012	22310663|22342701
YGL187C (u) YOR065W	strogolovav2012	22310663
YOR065W (u) YGL187C	strogolovav2012	22310663
YGL189C (u) YLR150W	vandykemw2004	15044472
YLR150W (u) YGL189C	vandykemw2004	15044472
YGL189C (u) YLR435W	uetzp2000|pengwt2003	12837249|10688190
YLR435W (u) YGL189C	uetzp2000|pengwt2003	12837249|10688190
YGL190C (u) YGR098C	queralte2008	18762578
YGR098C (u) YGL190C	queralte2008	18762578
YGL190C (u) YGR161C	gavinac2006|breitkreutza2010	20489023|16429126
YGR161C (u) YGL190C	gavinac2006|breitkreutza2010	20489023|16429126
YGL190C (u) YHR082C	breitkreutza2010	20489023
YHR082C (u) YGL190C	breitkreutza2010	20489023
YGL190C (u) YIL142W	hoy2002|breitkreutza2010	20489023|11805837
YIL142W (u) YGL190C	hoy2002|breitkreutza2010	20489023|11805837
YGL190C (u) YJL014W	hoy2002|breitkreutza2010	20489023|11805837
YJL014W (u) YGL190C	hoy2002|breitkreutza2010	20489023|11805837
YGL190C (u) YJL076W	zuzuarreguia2012	22581371
YJL076W (u) YGL190C	zuzuarreguia2012	22581371
YGL190C (u) YJL095W	breitkreutza2010	20489023
YJL095W (u) YGL190C	breitkreutza2010	20489023
YGL190C (u) YJL111W	breitkreutza2010	20489023
YJL111W (u) YGL190C	breitkreutza2010	20489023
YGL190C (u) YJL194W	boronats2007	17130241
YJL194W (u) YGL190C	boronats2007	17130241
YGL190C (u) YJR064W	hoy2002|breitkreutza2010	20489023|11805837
YJR064W (u) YGL190C	hoy2002|breitkreutza2010	20489023|11805837
YGL190C (u) YJR066W	breitkreutza2010	20489023
YJR066W (u) YGL190C	breitkreutza2010	20489023
YGL190C (u) YKL042W	breitkreutza2010	20489023
