sif_style	Annotation	count	etype	matchType	filenames
YHR099W (u) YBR081C		1.0	ppi		phospho_v4_bgnet_fix
YLR378C (u) YOR103C		1.0	ppi		phospho_v4_bgnet_fix
YOR103C (u) YLR378C		1.0	ppi		phospho_v4_bgnet_fix
YER177W (u) YNL076W		1.0	ppi		phospho_v4_bgnet_fix
YNL076W (u) YER177W		1.0	ppi		phospho_v4_bgnet_fix
YNL124W (u) YOL121C		1.0	ppi		phospho_v4_bgnet_fix
YOL121C (u) YNL124W		1.0	ppi		phospho_v4_bgnet_fix
YGL111W (u) YLL008W		1.0	ppi		phospho_v4_bgnet_fix
YLL008W (u) YGL111W		1.0	ppi		phospho_v4_bgnet_fix
YDL028C (u) YML091C		1.0	ppi		phospho_v4_bgnet_fix
YML091C (u) YDL028C		1.0	ppi		phospho_v4_bgnet_fix
YHR079C (d) YBR108W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YER110C (u) YJL115W		1.0	ppi		phospho_v4_bgnet_fix
YJL115W (u) YER110C		1.0	ppi		phospho_v4_bgnet_fix
YEL061C (u) YOR058C		1.0	ppi		phospho_v4_bgnet_fix
YOR058C (u) YEL061C		1.0	ppi		phospho_v4_bgnet_fix
YLR071C (u) YPR070W		1.0	ppi		phospho_v4_bgnet_fix
YPR070W (u) YLR071C		1.0	ppi		phospho_v4_bgnet_fix
YDR477W (d) YKL121W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YDR390C (u) YPR180W		1.0	ppi		phospho_v4_bgnet_fix
YPR180W (u) YDR390C		1.0	ppi		phospho_v4_bgnet_fix
YDR477W (d) YDR113C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YDR177W (u) YER125W		1.0	ppi		phospho_v4_bgnet_fix
YER125W (u) YDR177W		1.0	ppi		phospho_v4_bgnet_fix
YJL187C (d) CDC14ID7	Kinase|Yes	1.0		unknown_recognition_motif	NaCl_module_edges
YBR059C (d) YDR312W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YPL031C (d) YMR192W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YGL173C (d) NPR75	Yes	1.0		Shared_Interaction	NaCl_module_edges
YBL016W (d) YNL284CA		1.0	kinase_substrate		phospho_v4_bgnet_fix
YJL165C (d) YCR099C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YNL154C (d) NPI63	Kinase|Yes	1.0		motif_unmatched	NaCl_module_edges
YLL008W (d) NPR69	Yes	1.0		Shared_Interaction	NaCl_module_edges
YJR059W (d) YDR293C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YDL190C (u) YDR049W		1.0	ppi		phospho_v4_bgnet_fix
YDR049W (u) YDL190C		1.0	ppi		phospho_v4_bgnet_fix
YHR027C (u) YOR259C		1.0	ppi		phospho_v4_bgnet_fix
YOR259C (u) YHR027C		1.0	ppi		phospho_v4_bgnet_fix
YER068W (u) YGR253C		1.0	ppi		phospho_v4_bgnet_fix
YGR253C (u) YER068W		1.0	ppi		phospho_v4_bgnet_fix
YIL035C (u) YLR113W		1.0	ppi		phospho_v4_bgnet_fix
YLR113W (u) YIL035C		1.0	ppi		phospho_v4_bgnet_fix
YBL026W (u) YDR378C		1.0	ppi		phospho_v4_bgnet_fix
YDR378C (u) YBL026W		1.0	ppi		phospho_v4_bgnet_fix
YPL203W (d) YGR249W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YDR477W (d) YJR019C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YBL045C (u) YOR065W		1.0	ppi		phospho_v4_bgnet_fix
YOR065W (u) YBL045C		1.0	ppi		phospho_v4_bgnet_fix
YER012W (u) YJL001W		1.0	ppi		phospho_v4_bgnet_fix
YJL001W (u) YER012W		1.0	ppi		phospho_v4_bgnet_fix
YDR356W (u) YPL180W		1.0	ppi		phospho_v4_bgnet_fix
YPL180W (u) YDR356W		1.0	ppi		phospho_v4_bgnet_fix
YJL070C (d) NPR70	Yes	1.0		Shared_Interaction	NaCl_module_edges
YJL187C (d) YOR078W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YGR204W (u) YLR058C		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YLR058C (u) YGR204W		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YAR002W (u) YLR293C		1.0	ppi		phospho_v4_bgnet_fix
YLR293C (u) YAR002W		1.0	ppi		phospho_v4_bgnet_fix
YBL016W (u) YBR200W		1.0	ppi		phospho_v4_bgnet_fix
YBR200W (u) YBL016W		1.0	ppi		phospho_v4_bgnet_fix
YCR012W (u) YFL023W		1.0	ppi		phospho_v4_bgnet_fix
YFL023W (u) YCR012W		1.0	ppi		phospho_v4_bgnet_fix
YLR009W (u) YOL006C		1.0	ppi		phospho_v4_bgnet_fix
YOL006C (u) YLR009W		1.0	ppi		phospho_v4_bgnet_fix
YGR056W (u) YMR106C		1.0	ppi		phospho_v4_bgnet_fix
YMR106C (u) YGR056W		1.0	ppi		phospho_v4_bgnet_fix
YKL190W (u) YML057W		1.0	ppi		phospho_v4_bgnet_fix
YML057W (u) YKL190W		1.0	ppi		phospho_v4_bgnet_fix
YGL100W (u) YJL061W		1.0	ppi		phospho_v4_bgnet_fix
YJL061W (u) YGL100W		1.0	ppi		phospho_v4_bgnet_fix
YKL181W (u) YMR291W		1.0	ppi		phospho_v4_bgnet_fix
YMR291W (u) YKL181W		1.0	ppi		phospho_v4_bgnet_fix
YDR473C (u) YLR438CA		1.0	ppi		phospho_v4_bgnet_fix
YLR438CA (u) YDR473C		1.0	ppi		phospho_v4_bgnet_fix
YGR135W (u) YLR199C		1.0	ppi		phospho_v4_bgnet_fix
YLR199C (u) YGR135W		1.0	ppi		phospho_v4_bgnet_fix
YER122C (u) YLR026C		1.0	ppi		phospho_v4_bgnet_fix
YLR026C (u) YER122C		1.0	ppi		phospho_v4_bgnet_fix
YHR165C (u) YML051W		1.0	ppi		phospho_v4_bgnet_fix
YML051W (u) YHR165C		1.0	ppi		phospho_v4_bgnet_fix
YHR107C (u) YLR314C		1.0	ppi		phospho_v4_bgnet_fix
