etype=CatSet(acetylation|deacetylation|demethylation|deubiquitination|given_gasch|given_gaschphos|glycosylation|kinase_substrate|metabolic_pathway|methylation|modification|neddrub1ylation|phosphatase_substrate|phosphorylation_and_dephosphorylation|ppi|prenylation|proteolyticprocessing|sumoylation|ubiquitination)	GENEA	GENEB	dir	sign	source	pmid
kinase_substrate	YBL016W	YER098W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YER122C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YER151C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YFL023W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YFR039C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YGL055W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YGL082W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YGL099W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YGR027WA	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YGR237C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YHL019C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YHR084W	1	0	breitkreutza2001|elionea1993	11525741|8334305
kinase_substrate	YBL016W	YHR117W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YHR131C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YHR214CC	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YJL117W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YJL157C	1	0	peterm1993|breitkreutza2001|elionea1993	8500168|11525741|8334305
kinase_substrate	YBL016W	YJR014W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YKL064W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YKL081W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YLR003C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YLR192C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YLR310C	1	0	cherkasovava2003	12867033
kinase_substrate	YBL016W	YLR394W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YLR451W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YML045WA	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YMR153W	1	0	luskcp2007	17461799
kinase_substrate	YBL016W	YMR186W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YMR235C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YMR262W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNL054WA	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNL135C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNL136W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNL186W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNL227C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNL271C	1	0	matheosd2004	15067022
kinase_substrate	YBL016W	YNL284CA	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNL293W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YNR019W	1	0	ptacekj2005	16319894
