systematic_name_dash_removed,systematic_name
YOR112W,YOR112W
YIL003W,YIL003W
YDR301W,YDR301W
YLR115W,YLR115W
YML036W,YML036W
YGL029W,YGL029W
YCL064C,YCL064C
YLR098C,YLR098C
YGL206C,YGL206C
YER164W,YER164W
YBR274W,YBR274W
YPL008W,YPL008W
YDR254W,YDR254W
YER026C,YER026C
YGR157W,YGR157W
YNL192W,YNL192W
YBR038W,YBR038W
YBR023C,YBR023C
YLR330W,YLR330W
YJL099W,YJL099W
YHR142W,YHR142W
YER030W,YER030W
YDR267C,YDR267C
YHR122W,YHR122W
YHR052W,YHR052W
YMR198W,YMR198W
YOR349W,YOR349W
YPL241C,YPL241C
YMR138W,YMR138W
YOR028C,YOR028C
YEL061C,YEL061C
YGR207C,YGR207C
YOR356W,YOR356W
YJL158C,YJL158C
YNR001C,YNR001C
YCR005C,YCR005C
YPR001W,YPR001W
YIL035C,YIL035C
YOR061W,YOR061W
YGL019W,YGL019W
YOR039W,YOR039W
YLR133W,YLR133W
YBR135W,YBR135W
YNL298W,YNL298W
YGR108W,YGR108W
YPR119W,YPR119W
YDL155W,YDL155W
YLR210W,YLR210W
YPR120C,YPR120C
YGR109C,YGR109C
YGR167W,YGR167W
YGR110W,YGR110W
YLR117C,YLR117C
YGL215W,YGL215W
YMR199W,YMR199W
YPL256C,YPL256C
YAL040C,YAL040C
YOR250C,YOR250C
YMR012W,YMR012W
YKL137W,YKL137W
YBL059CA,YBL059C-A
YMR194CB,YMR194C-B
YBR109C,YBR109C
YFR014C,YFR014C
YOL016C,YOL016C
YML057W,YML057W
YDL156W,YDL156W
YPR013C,YPR013C
YLR003C,YLR003C
YLR433C,YLR433C
YKL190W,YKL190W
YAL058W,YAL058W
YDR357C,YDR357C
YNL225C,YNL225C
YFR046C,YFR046C
YBR155W,YBR155W
YIL157C,YIL157C
YPL189CA,YPL189C-A
YJL062WA,YJL062W-A
YLR218C,YLR218C
YMR244CA,YMR244C-A
YLL050C,YLL050C
YGL223C,YGL223C
YGR120C,YGR120C
YER157W,YER157W
YPR105C,YPR105C
YNL051W,YNL051W
YNL041C,YNL041C
YGL005C,YGL005C
YML071C,YML071C
YER130C,YER130C
YDL145C,YDL145C
YBR003W,YBR003W
YOL008W,YOL008W
YNR041C,YNR041C
YOL096C,YOL096C
YDR204W,YDR204W
YML110C,YML110C
YGR255C,YGR255C
YGL119W,YGL119W
YLR201C,YLR201C
YBL045C,YBL045C
YNL336W,YNL336W
