Protein1,Protein2,Interaction,Directed
YBL016W,YAL034C,kinase_substrate,1
YBL016W,YBL011W,kinase_substrate,1
YBL016W,YBL023C,kinase_substrate,1
YBL016W,YBL055C,kinase_substrate,1
YBL016W,YBL057C,kinase_substrate,1
YBL016W,YBR055C,kinase_substrate,1
YBL016W,YBR083W,kinase_substrate,1
YBL016W,YBR259W,kinase_substrate,1
YBL016W,YDL070W,kinase_substrate,1
YBL016W,YDL153C,kinase_substrate,1
YBL016W,YDL173W,kinase_substrate,1
YBL016W,YDR034CC,kinase_substrate,1
YBL016W,YDR103W,kinase_substrate,1
YBL016W,YDR120C,kinase_substrate,1
YBL016W,YDR152W,kinase_substrate,1
YBL016W,YDR153C,kinase_substrate,1
YBL016W,YDR225W,kinase_substrate,1
YBL016W,YDR266C,kinase_substrate,1
YBL016W,YDR388W,kinase_substrate,1
YBL016W,YDR439W,kinase_substrate,1
YBL016W,YDR440W,kinase_substrate,1
YBL016W,YDR480W,kinase_substrate,1
YBL016W,YEL032W,kinase_substrate,1
YBL016W,YEL050C,kinase_substrate,1
YBL016W,YEL053C,kinase_substrate,1
YBL016W,YER082C,kinase_substrate,1
YBL016W,YER098W,kinase_substrate,1
YBL016W,YER122C,kinase_substrate,1
YBL016W,YER151C,kinase_substrate,1
YBL016W,YFL023W,kinase_substrate,1
YBL016W,YFR039C,kinase_substrate,1
YBL016W,YGL055W,kinase_substrate,1
YBL016W,YGL082W,kinase_substrate,1
YBL016W,YGL099W,kinase_substrate,1
YBL016W,YGR027WA,kinase_substrate,1
YBL016W,YGR237C,kinase_substrate,1
YBL016W,YHL019C,kinase_substrate,1
YBL016W,YHR084W,kinase_substrate,1
YBL016W,YHR117W,kinase_substrate,1
YBL016W,YHR131C,kinase_substrate,1
YBL016W,YHR214CC,kinase_substrate,1
YBL016W,YJL117W,kinase_substrate,1
YBL016W,YJL157C,kinase_substrate,1
YBL016W,YJR014W,kinase_substrate,1
YBL016W,YKL064W,kinase_substrate,1
YBL016W,YKL081W,kinase_substrate,1
YBL016W,YLR003C,kinase_substrate,1
YBL016W,YLR192C,kinase_substrate,1
YBL016W,YLR310C,kinase_substrate,1
YBL016W,YLR394W,kinase_substrate,1
YBL016W,YLR451W,kinase_substrate,1
YBL016W,YML045WA,kinase_substrate,1
YBL016W,YMR153W,kinase_substrate,1
YBL016W,YMR186W,kinase_substrate,1
YBL016W,YMR235C,kinase_substrate,1
YBL016W,YMR262W,kinase_substrate,1
YBL016W,YNL054WA,kinase_substrate,1
YBL016W,YNL135C,kinase_substrate,1
YBL016W,YNL136W,kinase_substrate,1
YBL016W,YNL186W,kinase_substrate,1
YBL016W,YNL227C,kinase_substrate,1
YBL016W,YNL271C,kinase_substrate,1
YBL016W,YNL284CA,kinase_substrate,1
YBL016W,YNL293W,kinase_substrate,1
YBL016W,YNR019W,kinase_substrate,1
YBL016W,YNR050C,kinase_substrate,1
YBL016W,YOL016C,kinase_substrate,1
YBL016W,YOL023W,kinase_substrate,1
YBL016W,YOL103WA,kinase_substrate,1
YBL016W,YOL127W,kinase_substrate,1
YBL016W,YOL130W,kinase_substrate,1
YBL016W,YOR141C,kinase_substrate,1
YBL016W,YOR151C,kinase_substrate,1
YBL016W,YOR276W,kinase_substrate,1
YBL016W,YPL049C,kinase_substrate,1
YBL016W,YPL133C,kinase_substrate,1
YBL016W,YPL146C,kinase_substrate,1
YBL016W,YPL257WA,kinase_substrate,1
YBL016W,YPR086W,kinase_substrate,1
YBL016W,YPR115W,kinase_substrate,1
YBL016W,YPR137CA,kinase_substrate,1
YBL016W,YPR139C,kinase_substrate,1
YBL016W,YPR158CC,kinase_substrate,1
YBL016W,YPR158WA,kinase_substrate,1
YBL060W,YOR094W,kinase_substrate,1
YBL088C,YAR007C,kinase_substrate,1
YBL088C,YDL101C,kinase_substrate,1
YBL088C,YDL220C,kinase_substrate,1
YBL088C,YDR369C,kinase_substrate,1
YBL088C,YNL312W,kinase_substrate,1
YBL088C,YOR189W,kinase_substrate,1
YBL105C,YBL039C,kinase_substrate,1
YBL105C,YHL020C,kinase_substrate,1
YBL105C,YJL095W,kinase_substrate,1
YBL105C,YLR133W,kinase_substrate,1
YBL105C,YNL068C,kinase_substrate,1
YBL105C,YOR372C,kinase_substrate,1
YBR059C,YBL047C,kinase_substrate,1
YBR059C,YCR027C,kinase_substrate,1
YBR059C,YDR229W,kinase_substrate,1
YBR059C,YDR239C,kinase_substrate,1
YBR059C,YDR312W,kinase_substrate,1
YBR059C,YDR354W,kinase_substrate,1
YBR059C,YER131W,kinase_substrate,1
YBR059C,YFR021W,kinase_substrate,1
YBR059C,YFR024CA,kinase_substrate,1
YBR059C,YGL105W,kinase_substrate,1
YBR059C,YGL153W,kinase_substrate,1
YBR059C,YGL172W,kinase_substrate,1
YBR059C,YGL207W,kinase_substrate,1
YBR059C,YGL234W,kinase_substrate,1
YBR059C,YGR021W,kinase_substrate,1
YBR059C,YGR135W,kinase_substrate,1
YBR059C,YGR159C,kinase_substrate,1
YBR059C,YGR240C,kinase_substrate,1
YBR059C,YHR015W,kinase_substrate,1
YBR059C,YHR161C,kinase_substrate,1
YBR059C,YIL091C,kinase_substrate,1
YBR059C,YJL084C,kinase_substrate,1
YBR059C,YKR006C,kinase_substrate,1
YBR059C,YKR009C,kinase_substrate,1
YBR059C,YKR092C,kinase_substrate,1
YBR059C,YKR094C,kinase_substrate,1
YBR059C,YLL018C,kinase_substrate,1
YBR059C,YLR206W,kinase_substrate,1
YBR059C,YLR276C,kinase_substrate,1
YBR059C,YMR222C,kinase_substrate,1
YBR059C,YMR250W,kinase_substrate,1
YBR059C,YMR297W,kinase_substrate,1
YBR059C,YMR304W,kinase_substrate,1
YBR059C,YNL027W,kinase_substrate,1
YBR059C,YNL227C,kinase_substrate,1
YBR059C,YNL272C,kinase_substrate,1
YBR059C,YNL277W,kinase_substrate,1
YBR059C,YOR054C,kinase_substrate,1
YBR059C,YOR239W,kinase_substrate,1
YBR059C,YOR257W,kinase_substrate,1
YBR059C,YOR329C,kinase_substrate,1
YBR059C,YPL106C,kinase_substrate,1
YBR059C,YPL223C,kinase_substrate,1
YBR135W,YLR079W,kinase_substrate,1
YBR136W,YAR007C,kinase_substrate,1
YBR136W,YCL061C,kinase_substrate,1
YBR136W,YDL101C,kinase_substrate,1
YBR136W,YDL220C,kinase_substrate,1
YBR136W,YDR076W,kinase_substrate,1
YBR136W,YDR217C,kinase_substrate,1
YBR136W,YDR225W,kinase_substrate,1
YBR136W,YDR499W,kinase_substrate,1
YBR136W,YHR154W,kinase_substrate,1
YBR136W,YIL072W,kinase_substrate,1
