#Node1	Node2
YBR160W	YOR178C
YBR160W	YOR188W
YBR160W	YOR195W
YBR160W	YOR249C
YBR160W	YOR315W
YBR160W	YOR372C
YBR160W	YOR373W
YBR160W	YPL115C
YBR160W	YPL124W
YBR160W	YPL127C
YBR160W	YPL150W
YBR160W	YPL153C
YBR160W	YPL155C
YBR160W	YPL194W
YBR160W	YPL209C
YBR160W	YPL250C
YBR160W	YPL255W
YBR160W	YPL256C
YBR160W	YPL267W
YBR160W	YPL269W
YBR160W	YPR018W
YBR160W	YPR030W
YBR160W	YPR111W
YBR160W	YPR141C
YBR160W	YPR160W
YBR160W	YPR171W
YBR160W	YPR174C
YBR160W	YPR175W
YBR274W	YDR113C
YCL024W	YAL034WA
YCL024W	YDR023W
YCL024W	YER064C
YCL024W	YGL245W
YCL024W	YGR231C
YCL024W	YML096W
YCL024W	YPR013C
YCR008W	YAL034WA
YCR008W	YAR019C
YCR008W	YBR107C
YCR008W	YBR285W
YCR008W	YDR044W
YCR008W	YDR404C
YCR008W	YFL023W
YCR008W	YGL084C
YCR008W	YGL134W
YCR008W	YHR056C
YCR008W	YJL051W
YCR008W	YJL164C
YCR008W	YKL073W
YCR008W	YLL011W
YCR008W	YMR165C
YCR008W	YNL253W
YCR008W	YOR018W
YCR008W	YOR224C
YCR008W	YPL257WA
YCR008W	YPR013C
YCR073C	YAR019C
YCR073C	YCL043C
YCR073C	YDL056W
YCR073C	YDL125C
YCR073C	YDR007W
YCR073C	YDR023W
YCR073C	YDR524C
YCR073C	YGL134W
YCR073C	YHL020C
YCR073C	YHR157W
YCR073C	YJL089W
YCR073C	YJL108C
YCR073C	YML096W
YCR073C	YMR165C
YCR073C	YNL284CA
YCR073C	YOR018W
YCR073C	YPL217C
YCR077C	YIL033C
YCR077C	YJL164C
YCR077C	YKL166C
YCR077C	YPL203W
YCR091W	YAL028W
YCR091W	YAR019C
YCR091W	YBR285W
YCR091W	YDL002C
YCR091W	YDL006W
YCR091W	YDL039C
YCR091W	YDL153C
YCR091W	YDL192W
YCR091W	YDR007W
YCR091W	YGL245W
YCR091W	YGR276C
YCR091W	YHR056C
YCR091W	YHR082C
YCR091W	YIL135C
YCR091W	YJL089W
YCR091W	YJL198W
YCR091W	YKL126W
YCR091W	YLL034C
YCR091W	YML037C
YCR091W	YML083C
YCR091W	YML096W
YCR091W	YMR165C
YCR091W	YMR184W
YCR091W	YNL045W
YCR091W	YNL155W
YCR091W	YOL104C
YCR091W	YPR063C
YCR091W	YPR119W
YCR091W	YPR160W
YDL017W	YBL023C
YDL017W	YBR202W
YDL017W	YDR052C
YDL017W	YEL032W
YDL017W	YGL201C
YDL017W	YLR274W
YDL017W	YPL153C
YDL017W	YPR019W
YDL028C	YAL047C
YDL028C	YAR019C
YDL028C	YDR356W
YDL028C	YFR046C
YDL028C	YGL086W
YDL028C	YGL093W
YDL028C	YHR209W
YDL028C	YIL106W
YDL028C	YIL144W
YDL028C	YIL149C
YDL028C	YJL084C
YDL028C	YJL089W
YDL028C	YKL042W
YDL028C	YNL116W
YDL028C	YNL186W
YDL028C	YOR257W
YDL028C	YPL124W
YDL028C	YPR048W
YDL101C	YAR019C
YDL101C	YBL011W
YDL101C	YDR171W
YDL101C	YDR264C
YDL101C	YDR523C
YDL101C	YDR531W
YDL101C	YEL017W
YDL101C	YER064C
YDL101C	YER079W
YDL101C	YGR038CA
YDL101C	YHR067W
YDL101C	YHR185C
YDL101C	YJL111W
YDL101C	YJR056C
YDL101C	YKR097W
YDL101C	YLR001C
YDL101C	YLR098C
YDL101C	YLR265C
YDL101C	YLR437C
YDL101C	YML058W
YDL101C	YML083C
YDL101C	YPL153C
YDL101C	YPL177C
YDL108W	YAL020C
YDL108W	YAL034WA
YDL108W	YBR024W
YDL108W	YDL140C
YDL108W	YDL166C
YDL108W	YER064C
YDL108W	YLR071C
YDL108W	YOL012C
YDL108W	YOR174W
YDL108W	YOR272W
YDL108W	YPR013C
YDL127W	YFR034C
YDL214C	YAR018C
YDL214C	YAR019C
YDL214C	YBL007C
YDL214C	YBL024W
YDL214C	YBL074C
YDL214C	YBR035C
YDL214C	YCR073WA
YDL214C	YCR079W
YDL214C	YDL039C
YDL214C	YDL131W
YDL214C	YDL153C
YDL214C	YDL220C
YDL214C	YGR249W
YDL214C	YGR276C
YDL214C	YHL018W
YDL214C	YHR060W
YDL214C	YHR121W
YDL214C	YHR139C
YDL214C	YIL107C
YDL214C	YJL051W
YDL214C	YJL110C
YDL214C	YJL198W
YDL214C	YJR103W
YDL214C	YKL012W
YDL214C	YKL080W
YDL214C	YKL168C
YDL214C	YKR092C
YDL214C	YML037C
YDL214C	YML083C
YDL214C	YMR102C
YDL214C	YMR140W
YDL214C	YMR165C
YDL214C	YNL227C
YDL214C	YNR006W
YDL214C	YOL065C
YDL214C	YPL166W
YDL235C	YLR006C
YDR122W	YCR073WA
YDR122W	YGR249W
YDR122W	YIL107C
YDR247W	YBL024W
YDR247W	YBL066C
YDR247W	YBR059C
YDR247W	YCR073WA
YDR247W	YGL184C
YDR247W	YGR249W
YDR247W	YHR063C
YDR247W	YIL033C
YDR247W	YIL107C
YDR247W	YJR049C
YDR247W	YJR130C
YDR247W	YKL093W
YDR247W	YMR140W
YDR247W	YNR034W
YDR283C	YGR054W
YDR283C	YJR007W
YDR466W	YJL089W
YDR466W	YLR228C
YDR466W	YML037C
YDR466W	YNL232W
YDR466W	YOL139C
YDR466W	YPL246C
YDR477W	YAR014C
YDR477W	YBL055C
YDR477W	YBL061C
YDR477W	YBR010W
YDR477W	YBR118W
YDR477W	YBR130C
YDR477W	YBR155W
YDR477W	YDL025C
YDR477W	YDL051W
YDR477W	YDL070W
YDR477W	YDL220C
YDR477W	YDL225W
YDR477W	YDR113C
YDR477W	YDR120C
YDR477W	YDR293C
YDR477W	YDR312W
YDR477W	YDR422C
YDR477W	YER024W
YDR477W	YER027C
YDR477W	YER028C
YDR477W	YER040W
YDR477W	YER122C
YDR477W	YER125W
YDR477W	YFL054C
YDR477W	YFR010W
YDR477W	YFR022W
YDR477W	YGL023C
YDR477W	YGL035C
YDR477W	YGL073W
YDR477W	YGL179C
YDR477W	YGL207W
YDR477W	YGL208W
YDR477W	YGL253W
YDR477W	YGR252W
YDR477W	YHL033C
YDR477W	YHR073W
YDR477W	YHR103W
YDR477W	YHR117W
YDR477W	YHR133C
