#item	conf(x) (out of 1000 total sols)
edge1253	0.911000
edge2709	0.912000
edge25525	0.900000
edge16245	0.809000
edge602	0.914000
edge22518	0.903000
edge18826	0.913000
edge20866	0.911000
edge2483	0.908000
edge18946	0.897000
edge23185	0.914000
edge3428	0.952000
edge26487	0.913000
edge4187	0.895000
edge24351	0.951000
edge26765	0.893000
edge11192	0.903000
edge10082	0.956000
edge21080	0.005000
edge20688	0.830000
edge16740	0.909000
edge7006	0.955000
edge16427	0.894000
edge25190	0.918000
edge21116	0.944000
edge9106	0.942000
edge15237	0.951000
edge15040	0.945000
edge15765	0.905000
edge1220	0.880000
edge22010	0.960000
edge1556	0.946000
edge22774	0.947000
edge23366	0.910000
edge25987	0.808000
edge24450	0.954000
edge3457	0.821000
edge11481	0.949000
edge20343	0.955000
edge24104	0.939000
edge2053	0.827000
edge12544	0.571000
edge14917	0.946000
edge17867	0.951000
edge6380	0.831000
edge16389	0.956000
edge27122	0.911000
edge20642	0.897000
edge5585	0.890000
edge10963	0.892000
edge4117	0.944000
edge27123	0.956000
edge16635	0.954000
edge20522	0.896000
edge22637	0.894000
edge22636	0.779000
edge7641	0.956000
edge16737	0.950000
edge7722	0.916000
edge17490	0.958000
edge7727	0.894000
edge25185	0.941000
edge427	0.959000
edge22880	0.917000
edge22883	0.842000
edge19389	0.952000
edge23234	0.908000
edge20287	0.951000
edge9657	0.899000
edge26951	0.911000
edge17693	0.949000
edge6248	0.914000
edge20738	0.811000
edge13647	0.951000
edge12993	0.177000
edge17914	0.945000
edge26845	1.000000
edge22863	0.687000
edge20048	0.921000
edge22866	0.950000
edge15351	0.950000
edge4205	0.615000
edge19759	0.952000
edge13495	0.956000
edge16927	0.949000
edge26508	0.784000
edge2281	0.942000
edge26465	0.904000
edge19617	0.946000
edge19613	0.947000
edge26058	0.892000
edge6413	0.828000
edge12466	0.948000
edge2112	0.955000
edge6142	0.694000
edge24785	0.862000
edge23986	0.903000
edge19971	0.950000
edge12768	0.956000
edge25956	0.916000
edge25958	0.951000
edge18080	0.005000
edge11350	0.784000
edge11351	0.949000
edge15491	0.565000
edge24074	0.896000
edge26210	0.102000
edge15857	0.918000
edge15850	0.899000
edge21920	0.950000
edge1728	0.510000
edge17374	0.811000
edge281	0.963000
edge3469	0.893000
edge11093	0.921000
edge15975	0.936000
edge4662	0.653000
edge15080	0.626000
edge10777	0.819000
edge10776	0.898000
edge22003	0.960000
edge2427	0.784000
edge2549	0.903000
edge8081	0.888000
edge17716	0.951000
