#pid	conf	gene_ids	eids	pathfinders	sif_edges
p702	0.890000	YLR113W|PDE2RA52|YKR048C|NPI61|YJL020C|HOG1ID29	edge26596|edge17922|edge10826|edge4117|edge25051	paths	YLR113W d PDE2RA52|PDE2RA52 d YKR048C|YKR048C d NPI61|NPI61 d YJL020C|YJL020C d HOG1ID29
p703	0.898000	YLR113W|PDE2RA52|YKR048C|NPR69|YHL007C|HOG1RD35	edge26596|edge17922|edge25185|edge24337|edge12144	paths	YLR113W d PDE2RA52|PDE2RA52 d YKR048C|YKR048C d NPR69|NPR69 d YHL007C|YHL007C d HOG1RD35
p704	0.906000	YLR113W|YHR205W|YMR196W|HOG1ID29	edge20906|edge26249|edge11030	paths	YLR113W u YHR205W|YHR205W u YMR196W|YMR196W d HOG1ID29
p705	0.949000	YLR113W|YER151C|HOG1ID27	edge10952|edge7199	paths	YLR113W d YER151C|YER151C d HOG1ID27
p706	0.005000	YFR028C|NPR66|YPR019W|YDL025C|CDC14RD20	edge20541|edge18961|edge21077|edge22098	paths	YFR028C d NPR66|NPR66 d YPR019W|YPR019W u YDL025C|YDL025C d CDC14RD20
p707	0.909000	YLR113W|YER118C|YMR032W|HOG1ID29	edge25020|edge2368|edge1996	paths	YLR113W d YER118C|YER118C u YMR032W|YMR032W d HOG1ID29
p708	0.905000	YLR113W|PDE2RA52|YBL085W|NPI65|YHL007C|HOG1RD35	edge26596|edge22208|edge3835|edge7987|edge12144	paths	YLR113W d PDE2RA52|PDE2RA52 d YBL085W|YBL085W d NPI65|NPI65 d YHL007C|YHL007C d HOG1RD35
p709	0.847000	YFR028C|PDE2ID42|YCL032W|YLR229C|CDC14RD23	edge14811|edge22245|edge22619|edge14205	paths	YFR028C d PDE2ID42|PDE2ID42 d YCL032W|YCL032W u YLR229C|YLR229C d CDC14RD23
p710	0.899000	YFR028C|NPR74|YEL015W|NPR73|YJL020C|CDC14ID7	edge3342|edge19940|edge19900|edge13252|edge9488	paths	YFR028C d NPR74|NPR74 d YEL015W|YEL015W d NPR73|NPR73 d YJL020C|YJL020C d CDC14ID7
p711	0.890000	YLR113W|NPR66|YNL243W|NPI63|YGR162W|HOG1RA39	edge22071|edge8877|edge16308|edge12098|edge2379	paths	YLR113W d NPR66|NPR66 d YNL243W|YNL243W d NPI63|NPI63 d YGR162W|YGR162W d HOG1RA39
p712	0.925000	YFR028C|CDC14RD23|YKL101W|YFL023W|CDC14RD20	edge5259|edge12414|edge6589|edge16122	paths	YFR028C d CDC14RD23|CDC14RD23 d YKL101W|YKL101W d YFL023W|YFL023W d CDC14RD20
p713	0.914000	YFR028C|YAL024C|NPI61|YHL009C|CDC14RD23	edge19943|edge7641|edge19208|edge11604	paths	YFR028C d YAL024C|YAL024C d NPI61|NPI61 d YHL009C|YHL009C d CDC14RD23
p714	0.899000	YOR360C|YJL005W|NPR76|YHR016C|PDE2RA58	edge11172|edge3953|edge1371|edge21005	paths	YOR360C u YJL005W|YJL005W d NPR76|NPR76 d YHR016C|YHR016C d PDE2RA58
p715	0.831000	YLR113W|NPR66|YER114C|YBR200W|HOG1RD38	edge22071|edge24785|edge6380|edge4900	paths	YLR113W d NPR66|NPR66 d YER114C|YER114C u YBR200W|YBR200W d HOG1RD38
p716	0.866000	YFR028C|NPR66|YBL103C|YHR099W|CDC14RD19	edge20541|edge23733|edge8013|edge27488	paths	YFR028C d NPR66|NPR66 d YBL103C|YBL103C u YHR099W|YHR099W d CDC14RD19
p717	0.831000	YLR113W|NPR66|YER114C|YBR200W|HOG1RD35	edge22071|edge24785|edge6380|edge22010	paths	YLR113W d NPR66|NPR66 d YER114C|YER114C u YBR200W|YBR200W d HOG1RD35
p718	0.003000	YLR113W|PDE2RA52|YBL085W|YFR028C|HOG1RD38	edge26596|edge22208|edge6660|edge26845	paths	YLR113W d PDE2RA52|PDE2RA52 d YBL085W|YBL085W u YFR028C|YFR028C d HOG1RD38
p719	0.003000	YLR113W|PDE2RA52|YBL085W|YFR028C|HOG1RD33	edge26596|edge22208|edge6660|edge9388	paths	YLR113W d PDE2RA52|PDE2RA52 d YBL085W|YBL085W u YFR028C|YFR028C d HOG1RD33
p720	0.903000	YFR028C|NPR66|YBR172C|YLR116W|CDC14ID9	edge20541|edge22729|edge746|edge21195	paths	YFR028C d NPR66|NPR66 d YBR172C|YBR172C u YLR116W|YLR116W d CDC14ID9
p721	0.919000	YFR028C|NPR74|YEL022W|HOG1ID25|YJR076C|CDC14RD23	edge3342|edge26409|edge17434|edge8519|edge18074	paths	YFR028C d NPR74|NPR74 d YEL022W|YEL022W d HOG1ID25|HOG1ID25 d YJR076C|YJR076C d CDC14RD23
p722	0.902000	YFR028C|HOG1RD33|YDR293C|NPR69|YHL007C|CDC14RD19	edge9388|edge10530|edge10627|edge24337|edge17303	paths	YFR028C d HOG1RD33|HOG1RD33 d YDR293C|YDR293C d NPR69|NPR69 d YHL007C|YHL007C d CDC14RD19
p723	0.911000	YOR360C|YKL166C|NPI63|YJR059W|PDE2ID42	edge18417|edge18892|edge6361|edge1752	paths	YOR360C d YKL166C|YKL166C d NPI63|NPI63 d YJR059W|YJR059W d PDE2ID42
p724	0.813000	YFR028C|NPR74|YER155C|YDL025C|CDC14RD20	edge3342|edge10006|edge4980|edge22098	paths	YFR028C d NPR74|NPR74 d YER155C|YER155C u YDL025C|YDL025C d CDC14RD20
p725	0.908000	YFR028C|YER125W|YDL203C|CDC14RD20	edge7558|edge13966|edge13647	paths	YFR028C u YER125W|YER125W d YDL203C|YDL203C d CDC14RD20
p726	0.902000	YFR028C|HOG1RD33|YDR293C|NPR69|YHL007C|CDC14RD15	edge9388|edge10530|edge10627|edge24337|edge11434	paths	YFR028C d HOG1RD33|HOG1RD33 d YDR293C|YDR293C d NPR69|NPR69 d YHL007C|YHL007C d CDC14RD15
p727	0.899000	YFR028C|YJL128C|HOG1ID29|YJR059W|CDC14RD19	edge14720|edge12466|edge22866|edge15351	paths	YFR028C u YJL128C|YJL128C d HOG1ID29|HOG1ID29 d YJR059W|YJR059W d CDC14RD19
p728	0.907000	YFR028C|YLR096W|YOR061W|CDC14RD20	edge9729|edge18959|edge19864	paths	YFR028C u YLR096W|YLR096W u YOR061W|YOR061W d CDC14RD20
