A	interaction	B
YBR160W	pp	YLR096W
YDR071C	pp	YLR096W
Repressed_...R.s......_pde2_Repressed_Amplified	pp	YGL207W
YFL023W	pp	YJL164C
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YHR030C
Repressed_.....tP....._pde2_Repressed_Amplified	pp	YDR099W
YGR162W	pp	YKR059W
YBR050C	pp	YBR109C
Repressed_.....sP....._hog1_Repressed_Defective	pp	YJL164C
YDR170C	pp	YPR181C
YFR028C	pp	YIL095W
Repressed_R.....s......_cdc14_Repressed_Defective	pp	YIL095W
YBR109C	pp	YHR028C
YBR097W	pp	YPL120W
Repressed_..R..s......_hog1_Repressed_Defective	pp	YAL041W
YGR162W	pp	YNL161W
YJR065C	pp	YMR109W
YLR210W	pp	YPL269W
YBR200W	pp	YFL039C
YBR133C	pp	YHL007C
Induced_.....sP....._hog1_Induced_Defective	pp	YLR248W
YBR059C	pp	YPL203W
YDL056W	pp	YNL154C
YMR260C	pp	YOR119C
Repressed_R.R..s......_hog1_Repressed_Amplified	pp	YER036C
YLR377C	pp	YPL180W
YBR160W	pp	YOR061W
Induced_.....tP....._hog1_Induced_Defective	pp	YDR475C
YKL103C	pp	YLL013C
Repressed_..R..s......_pde2_Repressed_Amplified	pp	YLR229C
Induced_..K..s......_cdc14_Induced_Defective	pp	YIR003W
YNL074C	pp	YPL256C
YDL161W	pp	YNL243W
Induced_.....sP....._cdc14_Induced_Defective	pp	YFR021W
Induced_.....tP....._pde2_Induced_Defective	pp	YNL243W
YPL180W	pp	YPL242C
Repressed_.....sP....._hog1_Repressed_Defective	pp	YLR096W
YFR014C	pp	YGL210W
YJL020C	pp	YKL129C
YBR050C	pp	YDR099W
YMR260C	pp	YPR041W
YLR206W	pp	YPL115C
Induced_..K..s......_hog1_Induced_Defective	pp	YJL128C
Repressed_R.R..s......_pde2_Repressed_Amplified	pp	YBR108W
Repressed_..R..s......_cdc14_Repressed_Defective	pp	YKL101W
Repressed_..R..s......_pde2_Repressed_Amplified	pp	YPL203W
YBR109C	pp	YJL187C
YGL019W	pp	YPL153C
YFR028C	pp	YNL152W
YDL203C	pp	YNL154C
YFR028C	pp	YOR093C
YNL251C	pp	YOR151C
YDR388W	pp	YIL156W
YMR124W	pp	YPR119W
YBR059C	pp	YOR061W
YIL095W	pp	YNL084C
YGL210W	pp	YLR096W
YAL024C	pp	YGR152C
YDR432W	pp	YER133W
Repressed_..RR.s......_cdc14_Repressed_Defective	pp	YAR014C
YBL007C	pp	YPL153C
YFR014C	pp	YIR003W
YJL164C	pp	YOR151C
YBR109C	pp	YIL095W
YEL022W	pp	YNL267W
YER033C	pp	YLR096W
YJR031C	pp	YKR030W
Induced_..S..s......_hog1_Induced_Defective	pp	YBL007C
Repressed_..R..s......_hog1_Repressed_Defective	pp	YLR229C
YFL023W	pp	YNL154C
Repressed_R.R..s......_hog1_Repressed_Amplified	pp	YJR059W
YBR200W	pp	YJL128C
YBR160W	pp	YOR208W
YKL129C	pp	YLR337C
YLL013C	pp	YLR067C
YFR014C	pp	YHR135C
YBL007C	pp	Induced_.....s..S..._No_Phenotype_Exists
YCR002C	pp	Induced_.....s..S..._No_Phenotype_Exists
YDL161W	pp	Induced_.....s..S..._No_Phenotype_Exists
YGR241C	pp	Induced_.....s..S..._No_Phenotype_Exists
YHR107C	pp	Induced_.....s..S..._No_Phenotype_Exists
YIR006C	pp	Induced_.....s..S..._No_Phenotype_Exists
YJR059W	pp	Induced_.....s..S..._No_Phenotype_Exists
YMR109W	pp	Induced_.....s..S..._No_Phenotype_Exists
YNL243W	pp	Induced_.....s..S..._No_Phenotype_Exists
YAL024C	pp	Induced_.....sP....._No_Phenotype_Exists
YBL007C	pp	Induced_.....sP....._No_Phenotype_Exists
YBR160W	pp	Induced_.....sP....._No_Phenotype_Exists
YDR028C	pp	Induced_.....sP....._No_Phenotype_Exists
YDR096W	pp	Induced_.....sP....._No_Phenotype_Exists
YFL023W	pp	Induced_.....sP....._No_Phenotype_Exists
YGR238C	pp	Induced_.....sP....._No_Phenotype_Exists
YHL009C	pp	Induced_.....sP....._No_Phenotype_Exists
YIR006C	pp	Induced_.....sP....._No_Phenotype_Exists
YJL020C	pp	Induced_.....sP....._No_Phenotype_Exists
YJR065C	pp	Induced_.....sP....._No_Phenotype_Exists
YKL129C	pp	Induced_.....sP....._No_Phenotype_Exists
YLR229C	pp	Induced_.....sP....._No_Phenotype_Exists
YMR109W	pp	Induced_.....sP....._No_Phenotype_Exists
YNL084C	pp	Induced_.....sP....._No_Phenotype_Exists
YNL161W	pp	Induced_.....sP....._No_Phenotype_Exists
YNL243W	pp	Induced_.....sP....._No_Phenotype_Exists
YNL272C	pp	Induced_.....sP....._No_Phenotype_Exists
